sku,intent,question,answer
TCX-LT-009,product_recommendation,UltraBook Flex 14 phù hợp với nhu cầu nào?,"UltraBook Flex 14 phù hợp với nhu cầu: thuyết trình, ghi chú, văn phòng linh hoạt."
TCX-LT-009,product_warranty,UltraBook Flex 14 bảo hành bao lâu?,UltraBook Flex 14 được bảo hành 24 tháng.
TCX-LT-009,product_category,UltraBook Flex 14 thuộc nhóm sản phẩm nào?,UltraBook Flex 14 thuộc nhóm laptop.
TCX-LT-010,product_price,OfficeBook 15 Plus giá bao nhiêu?,OfficeBook 15 Plus hiện có giá niêm yết 16.560.000 VND.
TCX-LT-010,product_info,OfficeBook 15 Plus có thông số gì nổi bật?,"OfficeBook 15 Plus có thông số chính: Intel Core i5, RAM 16GB, SSD 1TB, màn hình 15.6 inch."
TCX-LT-010,product_recommendation,OfficeBook 15 Plus phù hợp với nhu cầu nào?,"OfficeBook 15 Plus phù hợp với nhu cầu: văn phòng, dữ liệu lớn, học tập."
TCX-LT-010,product_warranty,OfficeBook 15 Plus bảo hành bao lâu?,OfficeBook 15 Plus được bảo hành 24 tháng.
TCX-LT-010,product_category,OfficeBook 15 Plus thuộc nhóm sản phẩm nào?,OfficeBook 15 Plus thuộc nhóm laptop.
TCX-PH-011,product_price,PixelOne A35 giá bao nhiêu?,PixelOne A35 hiện có giá niêm yết 3.990.000 VND.
TCX-PH-011,product_info,PixelOne A35 có thông số gì nổi bật?,"PixelOne A35 có thông số chính: AMOLED 6.4 inch, RAM 6GB, bộ nhớ 128GB, pin 5000mAh."
TCX-PH-011,product_recommendation,PixelOne A35 phù hợp với nhu cầu nào?,"PixelOne A35 phù hợp với nhu cầu: nghe gọi, mạng xã hội, xem phim."
TCX-PH-011,product_warranty,PixelOne A35 bảo hành bao lâu?,PixelOne A35 được bảo hành 12 tháng.
TCX-PH-011,product_category,PixelOne A35 thuộc nhóm sản phẩm nào?,PixelOne A35 thuộc nhóm điện thoại.
TCX-PH-012,product_price,PixelOne A56 giá bao nhiêu?,PixelOne A56 hiện có giá niêm yết 4.720.000 VND.
TCX-PH-012,product_info,PixelOne A56 có thông số gì nổi bật?,"PixelOne A56 có thông số chính: AMOLED 6.5 inch 120Hz, RAM 8GB, bộ nhớ 128GB, camera 64MP."
TCX-PH-012,product_recommendation,PixelOne A56 phù hợp với nhu cầu nào?,"PixelOne A56 phù hợp với nhu cầu: chụp ảnh, dùng hằng ngày, game nhẹ."
TCX-PH-012,product_warranty,PixelOne A56 bảo hành bao lâu?,PixelOne A56 được bảo hành 12 tháng.
TCX-PH-012,product_category,PixelOne A56 thuộc nhóm sản phẩm nào?,PixelOne A56 thuộc nhóm điện thoại.
TCX-PH-013,product_price,PixelOne Pro X Max giá bao nhiêu?,PixelOne Pro X Max hiện có giá niêm yết 5.450.000 VND.
TCX-PH-013,product_info,PixelOne Pro X Max có thông số gì nổi bật?,"PixelOne Pro X Max có thông số chính: OLED 6.7 inch 120Hz, RAM 12GB, bộ nhớ 256GB, camera 108MP."
TCX-PH-013,product_recommendation,PixelOne Pro X Max phù hợp với nhu cầu nào?,"PixelOne Pro X Max phù hợp với nhu cầu: camera tốt, hiệu năng cao."
TCX-PH-013,product_warranty,PixelOne Pro X Max bảo hành bao lâu?,PixelOne Pro X Max được bảo hành 12 tháng.
TCX-PH-013,product_category,PixelOne Pro X Max thuộc nhóm sản phẩm nào?,PixelOne Pro X Max thuộc nhóm điện thoại.
TCX-PH-014,product_price,NovaPhone Lite giá bao nhiêu?,NovaPhone Lite hiện có giá niêm yết 6.180.000 VND.
TCX-PH-014,product_info,NovaPhone Lite có thông số gì nổi bật?,"NovaPhone Lite có thông số chính: LCD 6.6 inch, RAM 4GB, bộ nhớ 64GB, pin 5000mAh."
TCX-PH-014,product_recommendation,NovaPhone Lite phù hợp với nhu cầu nào?,NovaPhone Lite phù hợp với nhu cầu: ngân sách tiết kiệm.
TCX-PH-014,product_warranty,NovaPhone Lite bảo hành bao lâu?,NovaPhone Lite được bảo hành 12 tháng.
TCX-PH-014,product_category,NovaPhone Lite thuộc nhóm sản phẩm nào?,NovaPhone Lite thuộc nhóm điện thoại.
TCX-PH-015,product_price,NovaPhone Max giá bao nhiêu?,NovaPhone Max hiện có giá niêm yết 6.910.000 VND.
TCX-PH-015,product_info,NovaPhone Max có thông số gì nổi bật?,"NovaPhone Max có thông số chính: AMOLED 6.8 inch, RAM 8GB, bộ nhớ 256GB, pin 6000mAh."
TCX-PH-015,product_recommendation,NovaPhone Max phù hợp với nhu cầu nào?,"NovaPhone Max phù hợp với nhu cầu: pin trâu, xem phim, giải trí."
TCX-PH-015,product_warranty,NovaPhone Max bảo hành bao lâu?,NovaPhone Max được bảo hành 12 tháng.
TCX-PH-015,product_category,NovaPhone Max thuộc nhóm sản phẩm nào?,NovaPhone Max thuộc nhóm điện thoại.
TCX-PH-016,product_price,Camon V12 giá bao nhiêu?,Camon V12 hiện có giá niêm yết 7.640.000 VND.
TCX-PH-016,product_info,Camon V12 có thông số gì nổi bật?,"Camon V12 có thông số chính: AMOLED 6.7 inch, RAM 8GB, camera selfie 32MP, camera sau 64MP."
TCX-PH-016,product_recommendation,Camon V12 phù hợp với nhu cầu nào?,"Camon V12 phù hợp với nhu cầu: chụp ảnh, quay vlog cơ bản."
TCX-PH-016,product_warranty,Camon V12 bảo hành bao lâu?,Camon V12 được bảo hành 12 tháng.
TCX-PH-016,product_category,Camon V12 thuộc nhóm sản phẩm nào?,Camon V12 thuộc nhóm điện thoại.
TCX-PH-017,product_price,RuggedPhone X1 giá bao nhiêu?,RuggedPhone X1 hiện có giá niêm yết 8.370.000 VND.
TCX-PH-017,product_info,RuggedPhone X1 có thông số gì nổi bật?,"RuggedPhone X1 có thông số chính: màn hình 6.5 inch, pin 7000mAh, kháng nước bụi IP68."
TCX-PH-017,product_recommendation,RuggedPhone X1 phù hợp với nhu cầu nào?,"RuggedPhone X1 phù hợp với nhu cầu: đi công trình, đi phượt."
TCX-PH-017,product_warranty,RuggedPhone X1 bảo hành bao lâu?,RuggedPhone X1 được bảo hành 12 tháng.
TCX-PH-017,product_category,RuggedPhone X1 thuộc nhóm sản phẩm nào?,RuggedPhone X1 thuộc nhóm điện thoại.
TCX-PH-018,product_price,MiniPhone SE giá bao nhiêu?,MiniPhone SE hiện có giá niêm yết 9.100.000 VND.
TCX-PH-018,product_info,MiniPhone SE có thông số gì nổi bật?,"MiniPhone SE có thông số chính: màn hình 5.8 inch, RAM 6GB, bộ nhớ 128GB."
TCX-PH-018,product_recommendation,MiniPhone SE phù hợp với nhu cầu nào?,"MiniPhone SE phù hợp với nhu cầu: máy nhỏ gọn, dùng một tay."
TCX-PH-018,product_warranty,MiniPhone SE bảo hành bao lâu?,MiniPhone SE được bảo hành 12 tháng.
TCX-PH-018,product_category,MiniPhone SE thuộc nhóm sản phẩm nào?,MiniPhone SE thuộc nhóm điện thoại.
TCX-PH-019,product_price,SpeedPhone G9 giá bao nhiêu?,SpeedPhone G9 hiện có giá niêm yết 9.830.000 VND.
TCX-PH-019,product_info,SpeedPhone G9 có thông số gì nổi bật?,"SpeedPhone G9 có thông số chính: OLED 144Hz, RAM 12GB, chip hiệu năng cao, pin 5000mAh."
TCX-PH-019,product_recommendation,SpeedPhone G9 phù hợp với nhu cầu nào?,SpeedPhone G9 phù hợp với nhu cầu: chơi game mobile.
TCX-PH-019,product_warranty,SpeedPhone G9 bảo hành bao lâu?,SpeedPhone G9 được bảo hành 12 tháng.
TCX-PH-019,product_category,SpeedPhone G9 thuộc nhóm sản phẩm nào?,SpeedPhone G9 thuộc nhóm điện thoại.
TCX-PH-020,product_price,BusinessPhone M2 giá bao nhiêu?,BusinessPhone M2 hiện có giá niêm yết 10.560.000 VND.
TCX-PH-020,product_info,BusinessPhone M2 có thông số gì nổi bật?,"BusinessPhone M2 có thông số chính: AMOLED 6.6 inch, RAM 8GB, bảo mật vân tay, pin 5000mAh."
TCX-PH-020,product_recommendation,BusinessPhone M2 phù hợp với nhu cầu nào?,"BusinessPhone M2 phù hợp với nhu cầu: nhân viên văn phòng, công việc."
TCX-PH-020,product_warranty,BusinessPhone M2 bảo hành bao lâu?,BusinessPhone M2 được bảo hành 12 tháng.
TCX-PH-020,product_category,BusinessPhone M2 thuộc nhóm sản phẩm nào?,BusinessPhone M2 thuộc nhóm điện thoại.
TCX-TB-021,product_price,TabLearn 11 Plus giá bao nhiêu?,TabLearn 11 Plus hiện có giá niêm yết 4.990.000 VND.
TCX-TB-021,product_info,TabLearn 11 Plus có thông số gì nổi bật?,"TabLearn 11 Plus có thông số chính: màn hình 11 inch 2K, RAM 8GB, bộ nhớ 128GB, hỗ trợ bút."
TCX-TB-021,product_recommendation,TabLearn 11 Plus phù hợp với nhu cầu nào?,"TabLearn 11 Plus phù hợp với nhu cầu: ghi chú, học online."
TCX-TB-021,product_warranty,TabLearn 11 Plus bảo hành bao lâu?,TabLearn 11 Plus được bảo hành 12 tháng.
TCX-TB-021,product_category,TabLearn 11 Plus thuộc nhóm sản phẩm nào?,TabLearn 11 Plus thuộc nhóm máy tính bảng.
TCX-TB-022,product_price,TabLearn Mini 8 giá bao nhiêu?,TabLearn Mini 8 hiện có giá niêm yết 5.720.000 VND.
TCX-TB-022,product_info,TabLearn Mini 8 có thông số gì nổi bật?,"TabLearn Mini 8 có thông số chính: màn hình 8.7 inch, RAM 4GB, bộ nhớ 64GB."
TCX-TB-022,product_recommendation,TabLearn Mini 8 phù hợp với nhu cầu nào?,"TabLearn Mini 8 phù hợp với nhu cầu: đọc tài liệu, trẻ em học tập."
TCX-TB-022,product_warranty,TabLearn Mini 8 bảo hành bao lâu?,TabLearn Mini 8 được bảo hành 12 tháng.
TCX-TB-022,product_category,TabLearn Mini 8 thuộc nhóm sản phẩm nào?,TabLearn Mini 8 thuộc nhóm máy tính bảng.
TCX-TB-023,product_price,TabPro 12 giá bao nhiêu?,TabPro 12 hiện có giá niêm yết 6.450.000 VND.
TCX-TB-023,product_info,TabPro 12 có thông số gì nổi bật?,"TabPro 12 có thông số chính: màn hình 12.4 inch 2.5K, RAM 12GB, bộ nhớ 256GB."
TCX-TB-023,product_recommendation,TabPro 12 phù hợp với nhu cầu nào?,"TabPro 12 phù hợp với nhu cầu: làm việc, vẽ, đa nhiệm."
TCX-TB-023,product_warranty,TabPro 12 bảo hành bao lâu?,TabPro 12 được bảo hành 12 tháng.
TCX-TB-023,product_category,TabPro 12 thuộc nhóm sản phẩm nào?,TabPro 12 thuộc nhóm máy tính bảng.
TCX-TB-024,product_price,TabCinema 13 giá bao nhiêu?,TabCinema 13 hiện có giá niêm yết 7.180.000 VND.
TCX-TB-024,product_info,TabCinema 13 có thông số gì nổi bật?,"TabCinema 13 có thông số chính: màn hình 13 inch, loa kép, pin 10000mAh."
TCX-TB-024,product_recommendation,TabCinema 13 phù hợp với nhu cầu nào?,"TabCinema 13 phù hợp với nhu cầu: xem phim, giải trí."
TCX-TB-024,product_warranty,TabCinema 13 bảo hành bao lâu?,TabCinema 13 được bảo hành 12 tháng.
TCX-TB-024,product_category,TabCinema 13 thuộc nhóm sản phẩm nào?,TabCinema 13 thuộc nhóm máy tính bảng.
TCX-TB-025,product_price,TabNote 10 giá bao nhiêu?,TabNote 10 hiện có giá niêm yết 7.910.000 VND.
TCX-TB-025,product_info,TabNote 10 có thông số gì nổi bật?,"TabNote 10 có thông số chính: màn hình 10.5 inch, hỗ trợ bút, RAM 6GB."
TCX-TB-025,product_recommendation,TabNote 10 phù hợp với nhu cầu nào?,"TabNote 10 phù hợp với nhu cầu: ghi chú, học tập."
TCX-TB-025,product_warranty,TabNote 10 bảo hành bao lâu?,TabNote 10 được bảo hành 12 tháng.
TCX-TB-025,product_category,TabNote 10 thuộc nhóm sản phẩm nào?,TabNote 10 thuộc nhóm máy tính bảng.
TCX-TB-026,product_price,TabKids 9 giá bao nhiêu?,TabKids 9 hiện có giá niêm yết 8.640.000 VND.
TCX-TB-026,product_info,TabKids 9 có thông số gì nổi bật?,"TabKids 9 có thông số chính: màn hình 9 inch, vỏ chống sốc, chế độ trẻ em."
TCX-TB-026,product_recommendation,TabKids 9 phù hợp với nhu cầu nào?,TabKids 9 phù hợp với nhu cầu: học tập cho trẻ em.
TCX-TB-026,product_warranty,TabKids 9 bảo hành bao lâu?,TabKids 9 được bảo hành 12 tháng.
TCX-TB-026,product_category,TabKids 9 thuộc nhóm sản phẩm nào?,TabKids 9 thuộc nhóm máy tính bảng.
TCX-TB-027,product_price,TabWork 11 LTE giá bao nhiêu?,TabWork 11 LTE hiện có giá niêm yết 9.370.000 VND.
TCX-TB-027,product_info,TabWork 11 LTE có thông số gì nổi bật?,"TabWork 11 LTE có thông số chính: màn hình 11 inch, RAM 8GB, LTE, pin 8500mAh."
TCX-TB-027,product_recommendation,TabWork 11 LTE phù hợp với nhu cầu nào?,TabWork 11 LTE phù hợp với nhu cầu: làm việc di động.
TCX-TB-027,product_warranty,TabWork 11 LTE bảo hành bao lâu?,TabWork 11 LTE được bảo hành 12 tháng.
TCX-TB-027,product_category,TabWork 11 LTE thuộc nhóm sản phẩm nào?,TabWork 11 LTE thuộc nhóm máy tính bảng.
TCX-TB-028,product_price,TabSketch 12 giá bao nhiêu?,TabSketch 12 hiện có giá niêm yết 10.100.000 VND.
TCX-TB-028,product_info,TabSketch 12 có thông số gì nổi bật?,"TabSketch 12 có thông số chính: màn hình 12 inch, bút cảm ứng lực nhấn."
TCX-TB-028,product_recommendation,TabSketch 12 phù hợp với nhu cầu nào?,"TabSketch 12 phù hợp với nhu cầu: vẽ, thiết kế."
TCX-TB-028,product_warranty,TabSketch 12 bảo hành bao lâu?,TabSketch 12 được bảo hành 12 tháng.
TCX-TB-028,product_category,TabSketch 12 thuộc nhóm sản phẩm nào?,TabSketch 12 thuộc nhóm máy tính bảng.
TCX-TB-029,product_price,TabLite 10 giá bao nhiêu?,TabLite 10 hiện có giá niêm yết 10.830.000 VND.
TCX-TB-029,product_info,TabLite 10 có thông số gì nổi bật?,"TabLite 10 có thông số chính: màn hình 10 inch, RAM 4GB, bộ nhớ 64GB."
TCX-TB-029,product_recommendation,TabLite 10 phù hợp với nhu cầu nào?,TabLite 10 phù hợp với nhu cầu: nhu cầu cơ bản.
TCX-TB-029,product_warranty,TabLite 10 bảo hành bao lâu?,TabLite 10 được bảo hành 12 tháng.
TCX-TB-029,product_category,TabLite 10 thuộc nhóm sản phẩm nào?,TabLite 10 thuộc nhóm máy tính bảng.
TCX-TB-030,product_price,TabMax 14 giá bao nhiêu?,TabMax 14 hiện có giá niêm yết 11.560.000 VND.
TCX-TB-030,product_info,TabMax 14 có thông số gì nổi bật?,"TabMax 14 có thông số chính: màn hình 14 inch, RAM 12GB, bộ nhớ 512GB."
TCX-TB-030,product_recommendation,TabMax 14 phù hợp với nhu cầu nào?,"TabMax 14 phù hợp với nhu cầu: đa nhiệm, thay laptop nhẹ."
TCX-TB-030,product_warranty,TabMax 14 bảo hành bao lâu?,TabMax 14 được bảo hành 12 tháng.
TCX-TB-030,product_category,TabMax 14 thuộc nhóm sản phẩm nào?,TabMax 14 thuộc nhóm máy tính bảng.
TCX-HP-031,product_price,SonicBuds Pro 2 giá bao nhiêu?,SonicBuds Pro 2 hiện có giá niêm yết 390.000 VND.
TCX-HP-031,product_info,SonicBuds Pro 2 có thông số gì nổi bật?,"SonicBuds Pro 2 có thông số chính: true wireless, ANC, xuyên âm, IPX4, pin 28 giờ với hộp sạc."
TCX-HP-031,product_recommendation,SonicBuds Pro 2 phù hợp với nhu cầu nào?,"SonicBuds Pro 2 phù hợp với nhu cầu: học online, làm việc, di chuyển."
TCX-HP-031,product_warranty,SonicBuds Pro 2 bảo hành bao lâu?,SonicBuds Pro 2 được bảo hành 12 tháng.
TCX-HP-031,product_category,SonicBuds Pro 2 thuộc nhóm sản phẩm nào?,SonicBuds Pro 2 thuộc nhóm tai nghe.
TCX-HP-032,product_price,SonicBuds Lite 2 giá bao nhiêu?,SonicBuds Lite 2 hiện có giá niêm yết 1.120.000 VND.
TCX-HP-032,product_info,SonicBuds Lite 2 có thông số gì nổi bật?,"SonicBuds Lite 2 có thông số chính: true wireless, mic đàm thoại, IPX4, pin 20 giờ."
TCX-HP-032,product_recommendation,SonicBuds Lite 2 phù hợp với nhu cầu nào?,SonicBuds Lite 2 phù hợp với nhu cầu: nghe gọi cơ bản.
TCX-HP-032,product_warranty,SonicBuds Lite 2 bảo hành bao lâu?,SonicBuds Lite 2 được bảo hành 12 tháng.
TCX-HP-032,product_category,SonicBuds Lite 2 thuộc nhóm sản phẩm nào?,SonicBuds Lite 2 thuộc nhóm tai nghe.
TCX-HP-033,product_price,SonicBuds Sport giá bao nhiêu?,SonicBuds Sport hiện có giá niêm yết 1.850.000 VND.
TCX-HP-033,product_info,SonicBuds Sport có thông số gì nổi bật?,"SonicBuds Sport có thông số chính: true wireless, móc tai thể thao, IPX5, pin 24 giờ."
TCX-HP-033,product_recommendation,SonicBuds Sport phù hợp với nhu cầu nào?,"SonicBuds Sport phù hợp với nhu cầu: chạy bộ, tập gym."
TCX-HP-033,product_warranty,SonicBuds Sport bảo hành bao lâu?,SonicBuds Sport được bảo hành 12 tháng.
TCX-HP-033,product_category,SonicBuds Sport thuộc nhóm sản phẩm nào?,SonicBuds Sport thuộc nhóm tai nghe.
TCX-HP-034,product_price,SoundMax ANC giá bao nhiêu?,SoundMax ANC hiện có giá niêm yết 2.580.000 VND.
TCX-HP-034,product_info,SoundMax ANC có thông số gì nổi bật?,"SoundMax ANC có thông số chính: tai nghe chụp tai, ANC, pin 40 giờ."
TCX-HP-034,product_recommendation,SoundMax ANC phù hợp với nhu cầu nào?,"SoundMax ANC phù hợp với nhu cầu: làm việc văn phòng, chống ồn."
TCX-HP-034,product_warranty,SoundMax ANC bảo hành bao lâu?,SoundMax ANC được bảo hành 12 tháng.
TCX-HP-034,product_category,SoundMax ANC thuộc nhóm sản phẩm nào?,SoundMax ANC thuộc nhóm tai nghe.
TCX-HP-035,product_price,SoundMax Studio giá bao nhiêu?,SoundMax Studio hiện có giá niêm yết 3.310.000 VND.
TCX-HP-035,product_info,SoundMax Studio có thông số gì nổi bật?,"SoundMax Studio có thông số chính: tai nghe chụp tai, âm thanh cân bằng, đệm tai êm."
TCX-HP-035,product_recommendation,SoundMax Studio phù hợp với nhu cầu nào?,"SoundMax Studio phù hợp với nhu cầu: nghe nhạc, học online."
TCX-HP-035,product_warranty,SoundMax Studio bảo hành bao lâu?,SoundMax Studio được bảo hành 12 tháng.
TCX-HP-035,product_category,SoundMax Studio thuộc nhóm sản phẩm nào?,SoundMax Studio thuộc nhóm tai nghe.
TCX-HP-036,product_price,CallMate 300 giá bao nhiêu?,CallMate 300 hiện có giá niêm yết 4.040.000 VND.
TCX-HP-036,product_info,CallMate 300 có thông số gì nổi bật?,"CallMate 300 có thông số chính: tai nghe bluetooth một bên, mic lọc ồn."
TCX-HP-036,product_recommendation,CallMate 300 phù hợp với nhu cầu nào?,"CallMate 300 phù hợp với nhu cầu: tài xế, telesales."
TCX-HP-036,product_warranty,CallMate 300 bảo hành bao lâu?,CallMate 300 được bảo hành 12 tháng.
TCX-HP-036,product_category,CallMate 300 thuộc nhóm sản phẩm nào?,CallMate 300 thuộc nhóm tai nghe.
TCX-HP-037,product_price,GameHead X7 giá bao nhiêu?,GameHead X7 hiện có giá niêm yết 4.770.000 VND.
TCX-HP-037,product_info,GameHead X7 có thông số gì nổi bật?,"GameHead X7 có thông số chính: tai nghe gaming, mic rời, âm thanh vòm giả lập."
TCX-HP-037,product_recommendation,GameHead X7 phù hợp với nhu cầu nào?,GameHead X7 phù hợp với nhu cầu: chơi game.
TCX-HP-037,product_warranty,GameHead X7 bảo hành bao lâu?,GameHead X7 được bảo hành 12 tháng.
TCX-HP-037,product_category,GameHead X7 thuộc nhóm sản phẩm nào?,GameHead X7 thuộc nhóm tai nghe.
TCX-HP-038,product_price,TypeC Ear Pro giá bao nhiêu?,TypeC Ear Pro hiện có giá niêm yết 5.500.000 VND.
TCX-HP-038,product_info,TypeC Ear Pro có thông số gì nổi bật?,"TypeC Ear Pro có thông số chính: tai nghe có dây USB-C, mic đàm thoại."
TCX-HP-038,product_recommendation,TypeC Ear Pro phù hợp với nhu cầu nào?,TypeC Ear Pro phù hợp với nhu cầu: điện thoại không cổng 3.5mm.
TCX-HP-038,product_warranty,TypeC Ear Pro bảo hành bao lâu?,TypeC Ear Pro được bảo hành 12 tháng.
TCX-HP-038,product_category,TypeC Ear Pro thuộc nhóm sản phẩm nào?,TypeC Ear Pro thuộc nhóm tai nghe.
TCX-HP-039,product_price,Classic Ear 3.5 giá bao nhiêu?,Classic Ear 3.5 hiện có giá niêm yết 6.230.000 VND.
TCX-HP-039,product_info,Classic Ear 3.5 có thông số gì nổi bật?,"Classic Ear 3.5 có thông số chính: tai nghe có dây 3.5mm, mic cơ bản."
TCX-HP-039,product_recommendation,Classic Ear 3.5 phù hợp với nhu cầu nào?,Classic Ear 3.5 phù hợp với nhu cầu: nghe gọi tiết kiệm.
TCX-HP-039,product_warranty,Classic Ear 3.5 bảo hành bao lâu?,Classic Ear 3.5 được bảo hành 12 tháng.
TCX-HP-039,product_category,Classic Ear 3.5 thuộc nhóm sản phẩm nào?,Classic Ear 3.5 thuộc nhóm tai nghe.
TCX-HP-040,product_price,SleepBuds Mini giá bao nhiêu?,SleepBuds Mini hiện có giá niêm yết 6.960.000 VND.
