id,intent,question,answer,source_ids,requires_handoff,suggested_action
qa_0029,product_price,Laptop EduBook 13 hiện đang bán giá nào?,Laptop EduBook 13 hiện có giá niêm yết 9.990.000 VND. Giá thực tế có thể thay đổi nếu áp dụng voucher hoặc chương trình khuyến mãi.,TC-LT-003,False,answer
qa_0030,product_price,Sản phẩm Laptop EduBook 13 bao nhiêu tiền?,Laptop EduBook 13 hiện có giá niêm yết 9.990.000 VND. Giá thực tế có thể thay đổi nếu áp dụng voucher hoặc chương trình khuyến mãi.,TC-LT-003,False,answer
qa_0031,product_price,Báo giá giúp mình Laptop EduBook 13,Laptop EduBook 13 hiện có giá niêm yết 9.990.000 VND. Giá thực tế có thể thay đổi nếu áp dụng voucher hoặc chương trình khuyến mãi.,TC-LT-003,False,answer
qa_0032,product_info,Laptop EduBook 13 cấu hình thế nào?,"Laptop EduBook 13 có thông tin chính: Intel Core i3, RAM 8GB, SSD 256GB, màn hình 13.3 inch Full HD, nặng 1.18kg. Sản phẩm phù hợp với nhu cầu học sinh, sinh viên cần máy gọn nhẹ để học online, làm bài tập, duyệt web, Word và Excel cơ bản.",TC-LT-003,False,answer
qa_0033,product_info,Thông số chính của Laptop EduBook 13 là gì?,"Laptop EduBook 13 có thông tin chính: Intel Core i3, RAM 8GB, SSD 256GB, màn hình 13.3 inch Full HD, nặng 1.18kg. Sản phẩm phù hợp với nhu cầu học sinh, sinh viên cần máy gọn nhẹ để học online, làm bài tập, duyệt web, Word và Excel cơ bản.",TC-LT-003,False,answer
qa_0034,product_info,Laptop EduBook 13 có điểm gì nổi bật?,"Laptop EduBook 13 có thông tin chính: Intel Core i3, RAM 8GB, SSD 256GB, màn hình 13.3 inch Full HD, nặng 1.18kg. Sản phẩm phù hợp với nhu cầu học sinh, sinh viên cần máy gọn nhẹ để học online, làm bài tập, duyệt web, Word và Excel cơ bản.",TC-LT-003,False,answer
qa_0035,product_info,Mô tả nhanh giúp mình Laptop EduBook 13,"Laptop EduBook 13 có thông tin chính: Intel Core i3, RAM 8GB, SSD 256GB, màn hình 13.3 inch Full HD, nặng 1.18kg. Sản phẩm phù hợp với nhu cầu học sinh, sinh viên cần máy gọn nhẹ để học online, làm bài tập, duyệt web, Word và Excel cơ bản.",TC-LT-003,False,answer
qa_0036,product_info,Laptop EduBook 13 phù hợp với nhu cầu nào?,"Laptop EduBook 13 có thông tin chính: Intel Core i3, RAM 8GB, SSD 256GB, màn hình 13.3 inch Full HD, nặng 1.18kg. Sản phẩm phù hợp với nhu cầu học sinh, sinh viên cần máy gọn nhẹ để học online, làm bài tập, duyệt web, Word và Excel cơ bản.",TC-LT-003,False,answer
qa_0037,product_warranty,Laptop EduBook 13 bảo hành bao lâu?,"Laptop EduBook 13 được bảo hành 18 tháng. Nếu cần bảo hành, bạn vui lòng cung cấp mã đơn hàng, số điện thoại mua hàng, mô tả lỗi và hình ảnh/video nếu có.","TC-LT-003, policy_warranty",False,answer
qa_0038,product_warranty,Thời gian bảo hành của Laptop EduBook 13 là mấy tháng?,"Laptop EduBook 13 được bảo hành 18 tháng. Nếu cần bảo hành, bạn vui lòng cung cấp mã đơn hàng, số điện thoại mua hàng, mô tả lỗi và hình ảnh/video nếu có.","TC-LT-003, policy_warranty",False,answer
qa_0039,product_warranty,Mua Laptop EduBook 13 thì được bảo hành như thế nào?,"Laptop EduBook 13 được bảo hành 18 tháng. Nếu cần bảo hành, bạn vui lòng cung cấp mã đơn hàng, số điện thoại mua hàng, mô tả lỗi và hình ảnh/video nếu có.","TC-LT-003, policy_warranty",False,answer
qa_0040,product_price,Điện thoại PixelOne A55 giá bao nhiêu?,Điện thoại PixelOne A55 hiện có giá niêm yết 7.990.000 VND. Giá thực tế có thể thay đổi nếu áp dụng voucher hoặc chương trình khuyến mãi.,TC-PH-004,False,answer
qa_0041,product_price,Cho mình hỏi giá Điện thoại PixelOne A55 với,Điện thoại PixelOne A55 hiện có giá niêm yết 7.990.000 VND. Giá thực tế có thể thay đổi nếu áp dụng voucher hoặc chương trình khuyến mãi.,TC-PH-004,False,answer
qa_0042,product_price,Điện thoại PixelOne A55 hiện đang bán giá nào?,Điện thoại PixelOne A55 hiện có giá niêm yết 7.990.000 VND. Giá thực tế có thể thay đổi nếu áp dụng voucher hoặc chương trình khuyến mãi.,TC-PH-004,False,answer
qa_0043,product_price,Sản phẩm Điện thoại PixelOne A55 bao nhiêu tiền?,Điện thoại PixelOne A55 hiện có giá niêm yết 7.990.000 VND. Giá thực tế có thể thay đổi nếu áp dụng voucher hoặc chương trình khuyến mãi.,TC-PH-004,False,answer
qa_0044,product_price,Báo giá giúp mình Điện thoại PixelOne A55,Điện thoại PixelOne A55 hiện có giá niêm yết 7.990.000 VND. Giá thực tế có thể thay đổi nếu áp dụng voucher hoặc chương trình khuyến mãi.,TC-PH-004,False,answer
qa_0045,product_info,Điện thoại PixelOne A55 cấu hình thế nào?,"Điện thoại PixelOne A55 có thông tin chính: màn hình AMOLED 6.5 inch 120Hz, RAM 8GB, bộ nhớ 128GB, camera 64MP, pin 5000mAh. Sản phẩm phù hợp với nhu cầu chụp ảnh, dùng mạng xã hội, xem phim và chơi game nhẹ.",TC-PH-004,False,answer
qa_0046,product_info,Thông số chính của Điện thoại PixelOne A55 là gì?,"Điện thoại PixelOne A55 có thông tin chính: màn hình AMOLED 6.5 inch 120Hz, RAM 8GB, bộ nhớ 128GB, camera 64MP, pin 5000mAh. Sản phẩm phù hợp với nhu cầu chụp ảnh, dùng mạng xã hội, xem phim và chơi game nhẹ.",TC-PH-004,False,answer
qa_0047,product_info,Điện thoại PixelOne A55 có điểm gì nổi bật?,"Điện thoại PixelOne A55 có thông tin chính: màn hình AMOLED 6.5 inch 120Hz, RAM 8GB, bộ nhớ 128GB, camera 64MP, pin 5000mAh. Sản phẩm phù hợp với nhu cầu chụp ảnh, dùng mạng xã hội, xem phim và chơi game nhẹ.",TC-PH-004,False,answer
qa_0048,product_info,Mô tả nhanh giúp mình Điện thoại PixelOne A55,"Điện thoại PixelOne A55 có thông tin chính: màn hình AMOLED 6.5 inch 120Hz, RAM 8GB, bộ nhớ 128GB, camera 64MP, pin 5000mAh. Sản phẩm phù hợp với nhu cầu chụp ảnh, dùng mạng xã hội, xem phim và chơi game nhẹ.",TC-PH-004,False,answer
qa_0049,product_info,Điện thoại PixelOne A55 phù hợp với nhu cầu nào?,"Điện thoại PixelOne A55 có thông tin chính: màn hình AMOLED 6.5 inch 120Hz, RAM 8GB, bộ nhớ 128GB, camera 64MP, pin 5000mAh. Sản phẩm phù hợp với nhu cầu chụp ảnh, dùng mạng xã hội, xem phim và chơi game nhẹ.",TC-PH-004,False,answer
qa_0050,product_warranty,Điện thoại PixelOne A55 bảo hành bao lâu?,"Điện thoại PixelOne A55 được bảo hành 12 tháng. Nếu cần bảo hành, bạn vui lòng cung cấp mã đơn hàng, số điện thoại mua hàng, mô tả lỗi và hình ảnh/video nếu có.","TC-PH-004, policy_warranty",False,answer
qa_0051,product_warranty,Thời gian bảo hành của Điện thoại PixelOne A55 là mấy tháng?,"Điện thoại PixelOne A55 được bảo hành 12 tháng. Nếu cần bảo hành, bạn vui lòng cung cấp mã đơn hàng, số điện thoại mua hàng, mô tả lỗi và hình ảnh/video nếu có.","TC-PH-004, policy_warranty",False,answer
qa_0052,product_warranty,Mua Điện thoại PixelOne A55 thì được bảo hành như thế nào?,"Điện thoại PixelOne A55 được bảo hành 12 tháng. Nếu cần bảo hành, bạn vui lòng cung cấp mã đơn hàng, số điện thoại mua hàng, mô tả lỗi và hình ảnh/video nếu có.","TC-PH-004, policy_warranty",False,answer
qa_0053,product_price,Điện thoại PixelOne Pro X giá bao nhiêu?,Điện thoại PixelOne Pro X hiện có giá niêm yết 15.990.000 VND. Giá thực tế có thể thay đổi nếu áp dụng voucher hoặc chương trình khuyến mãi.,TC-PH-005,False,answer
qa_0054,product_price,Cho mình hỏi giá Điện thoại PixelOne Pro X với,Điện thoại PixelOne Pro X hiện có giá niêm yết 15.990.000 VND. Giá thực tế có thể thay đổi nếu áp dụng voucher hoặc chương trình khuyến mãi.,TC-PH-005,False,answer
qa_0055,product_price,Điện thoại PixelOne Pro X hiện đang bán giá nào?,Điện thoại PixelOne Pro X hiện có giá niêm yết 15.990.000 VND. Giá thực tế có thể thay đổi nếu áp dụng voucher hoặc chương trình khuyến mãi.,TC-PH-005,False,answer
qa_0056,product_price,Sản phẩm Điện thoại PixelOne Pro X bao nhiêu tiền?,Điện thoại PixelOne Pro X hiện có giá niêm yết 15.990.000 VND. Giá thực tế có thể thay đổi nếu áp dụng voucher hoặc chương trình khuyến mãi.,TC-PH-005,False,answer
qa_0057,product_price,Báo giá giúp mình Điện thoại PixelOne Pro X,Điện thoại PixelOne Pro X hiện có giá niêm yết 15.990.000 VND. Giá thực tế có thể thay đổi nếu áp dụng voucher hoặc chương trình khuyến mãi.,TC-PH-005,False,answer
qa_0058,product_info,Điện thoại PixelOne Pro X cấu hình thế nào?,"Điện thoại PixelOne Pro X có thông tin chính: màn hình OLED 6.7 inch 120Hz, RAM 12GB, bộ nhớ 256GB, camera 108MP, tele 3x. Sản phẩm phù hợp với nhu cầu người cần camera tốt, hiệu năng cao, bộ nhớ lớn và dùng lâu dài.",TC-PH-005,False,answer
qa_0059,product_info,Thông số chính của Điện thoại PixelOne Pro X là gì?,"Điện thoại PixelOne Pro X có thông tin chính: màn hình OLED 6.7 inch 120Hz, RAM 12GB, bộ nhớ 256GB, camera 108MP, tele 3x. Sản phẩm phù hợp với nhu cầu người cần camera tốt, hiệu năng cao, bộ nhớ lớn và dùng lâu dài.",TC-PH-005,False,answer
qa_0060,product_info,Điện thoại PixelOne Pro X có điểm gì nổi bật?,"Điện thoại PixelOne Pro X có thông tin chính: màn hình OLED 6.7 inch 120Hz, RAM 12GB, bộ nhớ 256GB, camera 108MP, tele 3x. Sản phẩm phù hợp với nhu cầu người cần camera tốt, hiệu năng cao, bộ nhớ lớn và dùng lâu dài.",TC-PH-005,False,answer
qa_0061,product_info,Mô tả nhanh giúp mình Điện thoại PixelOne Pro X,"Điện thoại PixelOne Pro X có thông tin chính: màn hình OLED 6.7 inch 120Hz, RAM 12GB, bộ nhớ 256GB, camera 108MP, tele 3x. Sản phẩm phù hợp với nhu cầu người cần camera tốt, hiệu năng cao, bộ nhớ lớn và dùng lâu dài.",TC-PH-005,False,answer
qa_0062,product_info,Điện thoại PixelOne Pro X phù hợp với nhu cầu nào?,"Điện thoại PixelOne Pro X có thông tin chính: màn hình OLED 6.7 inch 120Hz, RAM 12GB, bộ nhớ 256GB, camera 108MP, tele 3x. Sản phẩm phù hợp với nhu cầu người cần camera tốt, hiệu năng cao, bộ nhớ lớn và dùng lâu dài.",TC-PH-005,False,answer
qa_0063,product_warranty,Điện thoại PixelOne Pro X bảo hành bao lâu?,"Điện thoại PixelOne Pro X được bảo hành 12 tháng. Nếu cần bảo hành, bạn vui lòng cung cấp mã đơn hàng, số điện thoại mua hàng, mô tả lỗi và hình ảnh/video nếu có.","TC-PH-005, policy_warranty",False,answer
qa_0064,product_warranty,Thời gian bảo hành của Điện thoại PixelOne Pro X là mấy tháng?,"Điện thoại PixelOne Pro X được bảo hành 12 tháng. Nếu cần bảo hành, bạn vui lòng cung cấp mã đơn hàng, số điện thoại mua hàng, mô tả lỗi và hình ảnh/video nếu có.","TC-PH-005, policy_warranty",False,answer
qa_0065,product_warranty,Mua Điện thoại PixelOne Pro X thì được bảo hành như thế nào?,"Điện thoại PixelOne Pro X được bảo hành 12 tháng. Nếu cần bảo hành, bạn vui lòng cung cấp mã đơn hàng, số điện thoại mua hàng, mô tả lỗi và hình ảnh/video nếu có.","TC-PH-005, policy_warranty",False,answer
qa_0066,product_price,Máy tính bảng TabLearn 11 giá bao nhiêu?,Máy tính bảng TabLearn 11 hiện có giá niêm yết 8.490.000 VND. Giá thực tế có thể thay đổi nếu áp dụng voucher hoặc chương trình khuyến mãi.,TC-TB-006,False,answer
qa_0067,product_price,Cho mình hỏi giá Máy tính bảng TabLearn 11 với,Máy tính bảng TabLearn 11 hiện có giá niêm yết 8.490.000 VND. Giá thực tế có thể thay đổi nếu áp dụng voucher hoặc chương trình khuyến mãi.,TC-TB-006,False,answer
qa_0068,product_price,Máy tính bảng TabLearn 11 hiện đang bán giá nào?,Máy tính bảng TabLearn 11 hiện có giá niêm yết 8.490.000 VND. Giá thực tế có thể thay đổi nếu áp dụng voucher hoặc chương trình khuyến mãi.,TC-TB-006,False,answer
qa_0069,product_price,Sản phẩm Máy tính bảng TabLearn 11 bao nhiêu tiền?,Máy tính bảng TabLearn 11 hiện có giá niêm yết 8.490.000 VND. Giá thực tế có thể thay đổi nếu áp dụng voucher hoặc chương trình khuyến mãi.,TC-TB-006,False,answer
qa_0070,product_price,Báo giá giúp mình Máy tính bảng TabLearn 11,Máy tính bảng TabLearn 11 hiện có giá niêm yết 8.490.000 VND. Giá thực tế có thể thay đổi nếu áp dụng voucher hoặc chương trình khuyến mãi.,TC-TB-006,False,answer
qa_0071,product_info,Máy tính bảng TabLearn 11 cấu hình thế nào?,"Máy tính bảng TabLearn 11 có thông tin chính: màn hình 11 inch 2K, RAM 8GB, bộ nhớ 128GB, hỗ trợ bút cảm ứng, pin 8000mAh. Sản phẩm phù hợp với nhu cầu ghi chú, học online, đọc tài liệu, xem video và làm việc nhẹ.",TC-TB-006,False,answer
qa_0072,product_info,Thông số chính của Máy tính bảng TabLearn 11 là gì?,"Máy tính bảng TabLearn 11 có thông tin chính: màn hình 11 inch 2K, RAM 8GB, bộ nhớ 128GB, hỗ trợ bút cảm ứng, pin 8000mAh. Sản phẩm phù hợp với nhu cầu ghi chú, học online, đọc tài liệu, xem video và làm việc nhẹ.",TC-TB-006,False,answer
qa_0073,product_info,Máy tính bảng TabLearn 11 có điểm gì nổi bật?,"Máy tính bảng TabLearn 11 có thông tin chính: màn hình 11 inch 2K, RAM 8GB, bộ nhớ 128GB, hỗ trợ bút cảm ứng, pin 8000mAh. Sản phẩm phù hợp với nhu cầu ghi chú, học online, đọc tài liệu, xem video và làm việc nhẹ.",TC-TB-006,False,answer
qa_0074,product_info,Mô tả nhanh giúp mình Máy tính bảng TabLearn 11,"Máy tính bảng TabLearn 11 có thông tin chính: màn hình 11 inch 2K, RAM 8GB, bộ nhớ 128GB, hỗ trợ bút cảm ứng, pin 8000mAh. Sản phẩm phù hợp với nhu cầu ghi chú, học online, đọc tài liệu, xem video và làm việc nhẹ.",TC-TB-006,False,answer
qa_0075,product_info,Máy tính bảng TabLearn 11 phù hợp với nhu cầu nào?,"Máy tính bảng TabLearn 11 có thông tin chính: màn hình 11 inch 2K, RAM 8GB, bộ nhớ 128GB, hỗ trợ bút cảm ứng, pin 8000mAh. Sản phẩm phù hợp với nhu cầu ghi chú, học online, đọc tài liệu, xem video và làm việc nhẹ.",TC-TB-006,False,answer
qa_0076,product_warranty,Máy tính bảng TabLearn 11 bảo hành bao lâu?,"Máy tính bảng TabLearn 11 được bảo hành 12 tháng. Nếu cần bảo hành, bạn vui lòng cung cấp mã đơn hàng, số điện thoại mua hàng, mô tả lỗi và hình ảnh/video nếu có.","TC-TB-006, policy_warranty",False,answer
qa_0077,product_warranty,Thời gian bảo hành của Máy tính bảng TabLearn 11 là mấy tháng?,"Máy tính bảng TabLearn 11 được bảo hành 12 tháng. Nếu cần bảo hành, bạn vui lòng cung cấp mã đơn hàng, số điện thoại mua hàng, mô tả lỗi và hình ảnh/video nếu có.","TC-TB-006, policy_warranty",False,answer
qa_0078,product_warranty,Mua Máy tính bảng TabLearn 11 thì được bảo hành như thế nào?,"Máy tính bảng TabLearn 11 được bảo hành 12 tháng. Nếu cần bảo hành, bạn vui lòng cung cấp mã đơn hàng, số điện thoại mua hàng, mô tả lỗi và hình ảnh/video nếu có.","TC-TB-006, policy_warranty",False,answer
qa_0079,product_price,Tai nghe SonicBuds Pro giá bao nhiêu?,Tai nghe SonicBuds Pro hiện có giá niêm yết 1.990.000 VND. Giá thực tế có thể thay đổi nếu áp dụng voucher hoặc chương trình khuyến mãi.,TC-HP-007,False,answer
qa_0080,product_price,Cho mình hỏi giá Tai nghe SonicBuds Pro với,Tai nghe SonicBuds Pro hiện có giá niêm yết 1.990.000 VND. Giá thực tế có thể thay đổi nếu áp dụng voucher hoặc chương trình khuyến mãi.,TC-HP-007,False,answer
qa_0081,product_price,Tai nghe SonicBuds Pro hiện đang bán giá nào?,Tai nghe SonicBuds Pro hiện có giá niêm yết 1.990.000 VND. Giá thực tế có thể thay đổi nếu áp dụng voucher hoặc chương trình khuyến mãi.,TC-HP-007,False,answer
qa_0082,product_price,Sản phẩm Tai nghe SonicBuds Pro bao nhiêu tiền?,Tai nghe SonicBuds Pro hiện có giá niêm yết 1.990.000 VND. Giá thực tế có thể thay đổi nếu áp dụng voucher hoặc chương trình khuyến mãi.,TC-HP-007,False,answer
qa_0083,product_price,Báo giá giúp mình Tai nghe SonicBuds Pro,Tai nghe SonicBuds Pro hiện có giá niêm yết 1.990.000 VND. Giá thực tế có thể thay đổi nếu áp dụng voucher hoặc chương trình khuyến mãi.,TC-HP-007,False,answer
qa_0084,product_info,Tai nghe SonicBuds Pro cấu hình thế nào?,"Tai nghe SonicBuds Pro có thông tin chính: true wireless, chống ồn chủ động ANC, xuyên âm, IPX4, pin 7 giờ và 28 giờ với hộp sạc. Sản phẩm phù hợp với nhu cầu học online, nghe nhạc, gọi điện và di chuyển ngoài đường.",TC-HP-007,False,answer
qa_0085,product_info,Thông số chính của Tai nghe SonicBuds Pro là gì?,"Tai nghe SonicBuds Pro có thông tin chính: true wireless, chống ồn chủ động ANC, xuyên âm, IPX4, pin 7 giờ và 28 giờ với hộp sạc. Sản phẩm phù hợp với nhu cầu học online, nghe nhạc, gọi điện và di chuyển ngoài đường.",TC-HP-007,False,answer
qa_0086,product_info,Tai nghe SonicBuds Pro có điểm gì nổi bật?,"Tai nghe SonicBuds Pro có thông tin chính: true wireless, chống ồn chủ động ANC, xuyên âm, IPX4, pin 7 giờ và 28 giờ với hộp sạc. Sản phẩm phù hợp với nhu cầu học online, nghe nhạc, gọi điện và di chuyển ngoài đường.",TC-HP-007,False,answer
qa_0087,product_info,Mô tả nhanh giúp mình Tai nghe SonicBuds Pro,"Tai nghe SonicBuds Pro có thông tin chính: true wireless, chống ồn chủ động ANC, xuyên âm, IPX4, pin 7 giờ và 28 giờ với hộp sạc. Sản phẩm phù hợp với nhu cầu học online, nghe nhạc, gọi điện và di chuyển ngoài đường.",TC-HP-007,False,answer
qa_0088,product_info,Tai nghe SonicBuds Pro phù hợp với nhu cầu nào?,"Tai nghe SonicBuds Pro có thông tin chính: true wireless, chống ồn chủ động ANC, xuyên âm, IPX4, pin 7 giờ và 28 giờ với hộp sạc. Sản phẩm phù hợp với nhu cầu học online, nghe nhạc, gọi điện và di chuyển ngoài đường.",TC-HP-007,False,answer
